imei,start_date,end_date,lat,lon
861359033654722,2019-08-21T12:20:00.000Z,2019-09-20T10:40:00.000Z,54.700466,11.448631
869867036914481,2019-12-13T07:40:00.000Z,2020-04-24T12:20:00.000Z,55.836617,8.42733
869867035244393,2019-08-29T10:50:00.000Z,2019-11-09T11:50:00.000Z,55.65855,9.477246
861359033653286,2020-07-13T03:20:00.000Z,2020-12-01T17:00:00.000Z,55.735672,11.60387
861359033653989,2020-09-25T11:20:00.000Z,2020-11-01T11:50:00.000Z,54.90157,11.980403
862549042445752,2019-11-22T13:10:00.000Z,2020-07-12T17:50:00.000Z,55.03945,11.85801
869867036908558,2019-10-17T11:10:00.000Z,2019-12-13T00:10:00.000Z,55.41978,12.208123
862549042445745,2020-01-22T07:50:00.000Z,2020-07-12T17:50:00.000Z,55.51015,9.019633
861359033654573,2019-11-19T08:40:00.000Z,2020-07-12T17:50:00.000Z,55.563595,10.21634
862549044478850,2020-07-12T22:40:00.000Z,2020-09-06T10:50:00.000Z,55.87603,12.19187
